d82c07 629f6f 53477bc17009
52ab79 8930d1 2c4d8765adc9
74aba9 e4bacd 683e04aa4055
533c9a 416870 154458231360
076158 85a128 03da38178dc0
0b5aaf 30ac79 0228a71b70b7
5e6364 14827a 078fdf4425a8
35a7c6 deb4e6 2ead67dff3e4
864696 5882e3 2e6cea78c302
3012ae d658b1 2840451cba4e
339d78 4053b1 0cf83dbdc7f8
ac33f6 baa172 7d8a5a18d98c
bc5074 4d2365 38be3c2f99c4
4fee71 845398 29510c083618
dc2897 6279d9 54b0539bc6ff
413008 7b69e6 1f6d0b1c6f30
580c79 df39cc 4cc6be57e16c
b6651d 3d6e26 2bc4926e784e
0b648a 4e49df 037beba3ee36
ef26a5 8d4e27 84014b162923
1284b9 025b7c 002ba7980c9c
75ff93 7ecc04 3a71d3db224c
b97fb3 702dc8 51490aae3ad8
0c26e5 eaca38 0b2526ab3418
cf1acc 6980b5 555a1d7ff23c
fa98c1 7e5b63 7bb0a433ada3
75e417 70aaf5 33e2845a9003
1e3d59 15eae9 0296c7e63001
14dbad 3dbba3 0507a1f83e27
194665 d3861b 14e242c24aa7
c3f3f7 275f27 1e230003d3a1
69fcbe e25e65 5db8345a7af6
eb52ee 36a5be 323bd94ef2a4
70cdc4 9cdd9f 451f0b2200bc
13bfa9 d16903 102792d08ffb
6d4ba6 8f1b5b 3d18ef8e6602
c13c66 e2f880 ab52e52d0300
d44f85 64fc0d 53c01902f5c1
0a12f3 f57b8a 09a8ff17f7fe
2e2dff 3fee2f 0b8848fe83d1
7d7185 38553a 1b9a9834e122
20ca35 d72852 1b8efc9c0cfa
deffed 476c48 3e374d6af6a8
ef38d4 5a2375 543b1ca1f4e4
51d11b fea2a3 516173353a31
6f51ea 1b770d 0bf16868eee2
8e9b18 e64ddd 804ab7521bb8
4916e8 9c2e55 2c972fc24b08
8a83ef c9fe60 6d4b397f9ba0
3380dc b6088c 249f54995850
4bf0ae c707e7 3b0a6f5cef02
7118bb 8397d4 3a22baefc7dc
9acba5 764ab5 47870a5dada9
89421c a2652c 5712146468d0
42d01b 45c596 1235a891b6d2
3b5673 043d2c 00fb879842c4
1e651a 9d683a 12b060e777e4
c89309 b63f83 8eca4b38749b
19518f 2c2df3 045e8ff28dbd
bb9e5a 6a2724 4dcc40c5faa8
3fafa2 37d316 0de33f099dec
48d8b9 e139d1 4016ee532009
bc6ff6 ff4533 bbe675c19c02
a8dce8 01a600 01165c267000
bdee92 89181b 65b68e87d966
83e997 6da313 387e7cd07b35
dbedb4 0cbdc0 0af227e02b00
1f2de2 627b58 0bfe96475bb0
a52ba0 45c190 2d01a4ec2a00
1e4542 f89d3f 1d65afdc853e
bcbe9a 908e03 6a93ea8fa7ce
5be12d 3ac49e 1517954d6dc6
acc512 b76fc5 7bcc4e4474da
b41785 8bf06f 6271e959e2ab
a91da2 483c1a 2fb809aefa74
38b806 bd6817 29f6ec48f88a
d4f0d6 e6cd35 bffb11353a4e
3d798f 1095e4 03fb97707e5c
84a5b1 4eb987 28ca9d9e4957
acb595 53ca8c 38878509df7c
3bcd6a 5f89d5 16516d05a332
a0e624 7af2f4 4d4660116250
496dc2 9501e9 2abd6e2ca792
2bdfb7 23254d 0605fa8cbd0b
cf4bb3 03f7ba 03367bbfb50e
8d9974 813dd4 477c8647b810
53f040 5df2e0 1ecde9ceb800
95decd a28345 5f23d721f441
06792b cfdef3 05419cfd4dd1
213c12 e0789f 1d24388cbf2e
6544c9 27be03 0fb8a4dbfc5b
f9cb2e 2d4076 2c279d052734
82ae75 fdc129 8189041525bd
1392a2 22b56b 02a7585ed3b6
c3d9b3 34dd76 2871a591df82
c80cb4 ea455f b711d2313acc
c6596f 7f2a2e 62870c6147f2
91ca9f c46ac0 6fdbecf9cd40
b2194f f8247e aca1e7bf90e2
36a52d 3c3da9 0cdbdffac3b5
bb8917 21d32e 18c75fa79722
d0f0c7 3bd314 30d3c4a3d48c
c28d2a 627594 4ad36511ce48
5a7c83 9bc698 370f95583fc8
974d9d 21ee30 140dc7c38370
a10572 7f9b76 50437c12888c
e69b79 eaf949 d3aaab950681
1ba6cc 9db346 1108a84c3fc8
d57caf 06a8e2 058dc264ea7e
86c47b 989bb0 50569ea58d90
5bce22 7d3c27 2ce938e65f2e
74a264 4f06ea 24014346c768
033c14 f568c9 0319d2164bb4
3856be 8e36b8 1f4c282e6c90
a71b80 29bcce 1b3ea62a2100
a92d6b e10b4a 94b860e5b9ee
7ea496 cf2a21 667bec9dd356
f40d2a bcc461 b3f4e16524ea
7b1d40 8bc88b 43395372e1c0
505e9c b44807 3899227e7644
d9082a 142a6c 11189a2e55b8
425832 232f8c 091e614f6958
9ab3cc 66dfeb 3e2af3e9c044
b41342 30e9be 2268078d5cfc
d25ab0 5100f1 428f77b75fb0
c90ded 4aaeb2 3aa739c4c4ca
6253df f19b43 5ccc9772f85d
0f2670 356af7 032949b87610
09cd3b 50ae26 0316cd6290c2
b9f94e bf401e 8aef9550b724
f63168 3fe65f 3d73b457c598
57d9af dceb20 4bcfc232dae0
70f229 ab1e67 4b7f2b353c7f
b9cde6 a8e6a7 7a968721f50a
a867a0 39d5b5 260ba7e96420
429658 581ba3 16eade810208
abecfc 298e9a 1be8b93c5798
4e0e15 045892 015339af3ffa
5b3a45 92d6ff 3453d8eeb8bb
8a1d8b 0ee514 080934d1a5dc
bb78eb a1645f 76308c98ab35
26b61b 5a79b4 0dae6cc8cdfc
05a0f4 7db931 02c3a98822b4
a0b976 0fb2de 09db2a3ee054
0649de 3dd0c8 0184bad41570
0b82b6 032f59 0024a921db46
39cc6d f20e8b 36a68799f52f
a76479 53a081 36ae866040f9
110919 d22a3a 0dfc45dc29aa
0ff9d3 584d3c 0582b26b0474
f8db1a a9fa4e a53bf5f425ec
6c32fa 22c71d 0eb2ed161c52
e47638 ec071c d2a353d87620
376e22 72ef7d 18e2e606849a
6f6a21 245db6 0fd3b5677076
5ba830 4fdc13 1c97b226bb90
2d4ba5 a629d3 1d667370c5ff
542d19 ba626a 3d4920483e5a
fc9ea6 c90853 c660c7329fd2
bf4fa4 689c05 4e2cf2e47e34
61f68c 027752 00f196140cd8
68c6dd e41396 5d5920faec7e
438486 88a0ed 2408d885700e
8805ae cdfa4c 6d718a439ba8
bc52b3 fb0a6a b8acbeb63c1e
afc812 b47699 7bea1beedec2
767038 c25376 59e7a769e1d0
0abc84 90920b 06102a3961ac
ebe7ef 1f626a 1cebc66886f6
68afe2 f43649 63ddd65bd372
63eaa0 2bdb57 111e048b9c60
00cbd3 802453 0066066bc169
2362db 9f312a 160131bf22ee
de6d2d a9774b 933db89ee72f
839137 d70da5 6e85f85d6373
bb80d9 b31917 832d7828c47f
25ee54 1463c5 030566eae2a4
547e39 3cc4f7 140e97856cff
d71330 d4088f b223147d37d0
d216ad 2d2048 25087a5500a8
3f2de8 f22a4f 3bc3d6573a98
05a02c f4e168 05619dffbde0
ce749e e575ae b90d38f57964
2b395c be28e8 201b7a6a5b60
c9a57c d69db1 a90c8b9076bc
af044a 8fb87c 6241853143d8
2b16ad b7c144 1eedbd3572f4
1417d4 6d5b7d 0895538bfe84
ed7a6e dd5aac cd56cd8eede8
990e8f 1a895c 0fdd9a51c264
9ed9c1 a0e774 63d7b717d274
751f7e b5c99b 532b80b9ff4a
266b0d 9d6c84 179feff1aeb4
9a1ab3 0a40a3 062bf3c9bff9
40a210 571aa4 15fdcd4d7240
ce4f1c bcee9d 984264a28c2c
bb9378 606375 46a02cc1cdd8
06fafb a03214 045e3a70a19c
eeb346 e3b4df d4519d0d61fa
094c02 7f1076 049d4e0728ec
16f14a 5bbdd1 0838c82c9f6a
4af0a6 abf0f4 325547eafe38
269b6c 754724 11afc2e4cf30
3c7401 81e774 1ead1c927774
5b1654 298b7e 0ec835689958
bc49b5 c0c32d 8dc6d4fdd3d1
679b29 566ff3 22fb6e650eeb
451437 cda6a3 377e27228905
7e083c f1c58f 77070338c584
6480fd 03c8e1 017c6012065d
4f8e3e 87c47e 2a3112c17a84
e689e5 49c94a 42729735a932
8cea30 780afa 4213d14292e0
fa3222 08f110 08bd29e52420
c5dd96 882398 69393a771310
920c3d 8d5620 50a1dff705a0
432fb3 ef2083 3ec21074c899
afd4fc 09ce15 06bc08ab40ac
74b706 6522ff 2e1c29ef1afa
b8acdd 1eb957 1629f594741b
675e0c 58ba0b 23d372e5c284
7efa2f 0d1853 067ec502853d
054b88 45e695 017220992628
bd6deb fee4e6 bc9c6f400d22
08c626 4100e6 023a57880624
ae4404 ae2e45 7691b9e90d14
94fe31 b3e4bd 68b2dca64e2d
c6a289 eddb02 b88e676d7812
4a2edd feb46b 49cec73afa5f
afa4f5 c317c3 85daf43ba99f
35045f c33993 286e40c7a98d
877e5e 8429ae 45f337ccf1e4
571c9d 62d599 21a1a2f8bad5
fa7bff d59b14 d100e7d014ec
f8cc3f 402988 3e5b6ca29878
357f0a 1db1df 06348f9193b6
90e7e1 fb5245 8e41eaef91a5
54565b ce0755 43dfe7972937
f7f21e f16f14 e9d68397ec58
ecadbb 3e1e16 396de3fcd812
960da7 ac8258 651d92b77f68
b85774 886445 6236a978e244
ae6b4c e02a35 98baa436aebc
5a7583 299cf1 0eb446bf7453
ea96ab de386a cba25a61cace
e64296 272eaa 233e1db92b9c
54a608 d8a1a5 47a189ba0b28
bf5545 d1f0c5 9ce890824e19
0253dc 95be26 015c89a1baa8
d0fce9 0d1f0a 0ab62e9f181a
909b47 27fa8b 16952df8a58d
f3ca5f 583678 54016f9ee688
5cfa38 4a8b77 1b12fb44b808
a02ebb 4b1dd9 2f005ddbcb83
52b049 7eaf16 28eb518b0d46
c8649f 675626 50e3eb85599a
99c7ab 6e5662 4247af6be176
fccae6 2b8771 2afbd336d986
00425f c9d0a7 003452af7bf9
2408c3 918ff3 147d398c3e19
0b2975 711fa1 04eeadaf3d95
203790 576276 0aff460ebc60
edec31 0262a5 02378625fd95
f2d7fe b8bc66 af3df5f09734
7afc50 e8ef99 6fe7c38f7bd0
